,name,rating,total_rating_given,price_level,address
64,Dhaka foods & Restaurant,3.8,228,$$,"Shapla Building, Near, south"
65,Sunami Restaurant,3.8,"1,504",$$,25/1
66,Chows,4.2,821,$$$$,6 Rd No. 19/A
67,Lake Terrace,4.0,"2,869",$$$,"House # 25/E, Lake Dr Rd"
68,Fakhruddin Restaurant,3.9,"2,416",$$,"37, South Gulshan, Circle-1"
69,"Elements Restaurant, InterContinental Dhaka",4.6,463,not specified,1 Minto Rd
70,Basilico,4.1,"1,180",$$,399/B Shahid Baki Rd
71,The Atrium Restaurant,4.0,"1,859",$$$,"50 & 52, Pragati Avenue, J Block, Baridhara"
72,Garlic 'n Ginger,4.3,"2,221",$$,"Shop-1C-037, 1st Floor, KA-244, Jamuna Future Park Progoti Shoroni, Kuril - NSU Rd"
73,Adda,4.4,45,not specified,6/8 Syed Road
74,Flambe′ Restaurant,4.2,886,$$,"Building # 06, Road # 50 Block-NW(K Dhaka"
75,Cielo Rooftop,4.2,"1,107",$$$,"Borak, Unique Heights, 117 Kazi Nazrul Islam Ave"
76,Santoor Restaurant,4.1,"1,645",$$,"House no. 2, Road No 32, Mirpur Rd"
77,Rooftop Restaurant,3.8,86,$$,Not Provided
78,Dhaka Food,4.4,35,$$$$,"112, Paglar Pol, West Nakhalpara"
79,Zayqa,4.5,35,$$$,"Block A, House 6 Rd No.17A"
80,The New Gulshan Plaza Restaurant,4.2,"2,806",not specified,Not Provided
81,Breeze Restaurant,4.0,73,not specified,"House# 1/C, 1/D, Road# 16"
82,Midori Japanese Restaurant,4.0,29,$$$$,"Baridhara Diplomatic Area, Block- K, Road- 6, House- 14"
83,Tongue and Tummy Restaurant,3.9,180,not specified,Q92R+F87
84,ICHI,4.0,273,$$$,"House No 32, Level- 2, Blok- G, Rd No. 11"
85,Farmhouse Burger,4.4,"1,507",$$$$,23 Gulshan Ave
86,Golden Chimney Restaurant,4.0,882,$$,"Sonartori Tower, 12, 1st & 2nd Floor, Bir Uttam CR Dutta Rd"
87,Pavilion Restaurant & Cafe,3.8,365,$$,17 Sonargaon Janapath
88,"Madchef Banani, Dhaka.",4.3,"2,972",$$,"5th Floor, Plot 47, Block H Rd No. 11"
89,Sear,5.0,1,$$,"Renaissance Dhaka Gulshan Hotel, 78 Gulshan Ave"
90,Laughing Buddha,4.5,379,$$$$,"Rangs Arcade, 4th floor, 153/A Gulshan North Ave"
91,Bistro 16,4.7,6,$$$,"Road 16, House 54/A A Block, Banani Dhaka"
92,The Forest Lounge (Dhanmondi),3.9,183,not specified,"Imperial Amin Centre (roof top - lift12), House #54, Road, 10/A Satmasjid Road"
93,Zafran Restaurant,4.1,"1,573",$$,11 Rd No 10
94,"Pinewood Cafe+Kitchen, Dhanmondi-12",4.3,"3,250",$$,"House no: 19, Rd No 12"
95,উজানভাটি রেস্টুরেন্ট এন্ড কাবাব ঘর,3.7,122,$,Bijoy Sarani Begum Rokeya Sarani Link Road
96,Latitude 23,3.0,3,not specified,Le Méridien Dhaka 79/A Commercial Area Dhaka
97,Hello Dhaka,4.1,58,not specified,"60/D, Road:131,Gulshan-1,Dhaka 1212 dhaka"
98,Panash,4.3,3,$$,"Four Points by Sheraton Dhaka, Gulshan 6/A North Avenue Commercial Area"
99,Khushbu Hotel & Restaurant,3.7,29,$$,কামাল আতাতুর্ক সরণী
100,Shuruchi Restaurant,4.5,49,$$,Fourth Floor Brac Inn
101,Genial Buffet,3.6,592,$$,"Rangs KB Square, 9/A H.No 736 Level 8, 15 Satmasjid Road"
102,The Premium Lounge,3.8,"1,913",$$,R998+63Q
103,Royal Orchid Restaurant,3.7,546,$$,"B3377, Khilgaon Taltola"
104,Xian Restaurant,4.0,"1,137",$$,212 New Elephant Rd
105,Downtown Dhaka,4.4,54,not specified,House-11 Rd No 68
106,Black Birch Kitchen & Lounge,4.1,18,not specified,"Chandiwala Mansion,House 32 (Level 2, Block G Rd No. 11"
107,Nobabi Voj Restaurants,4.1,36,not specified,"74, Musa Menshion wireless gate, Mohakhali (C/A), Dhaka"
108,Weston Restaurant,4.2,609,$$,"1000, 1/1 Rupayan Taj, Box, Culvert Road"
109,"Cheong Shing Restaurant, Dhaka.",4.2,401,$$$,Rd No. 19/A
110,Absolute BBQ BD,4.2,"1,990",$$$,"Ahmed and Kazi tower, Level 7, Road 2, 35 Dhanmondi R/A"
111,Thirty3 Restaurant,3.9,"1,203",$$$,"3rd Floor, 3 New Baily Rd"
112,Dhaka Restaurant,0,0,$$,RC66+4XQ
113,The Manhattan FISH MARKET Bangladesh,4.3,"3,749",$$$,"Awal center, 34 Kemal Ataturk Ave"
114,Punjab Kitchen,4.1,32,$$,"United City, Madani Ave"
115,Nawabi Voj,4.0,"1,791",$$,50 Lalbagh Rd
116,Barcode Cafe,4.3,"3,788",$$,House 55/B Rd No # 21
117,Kaca Lanka Restaurant,3.4,9,not specified,"Faysal tower, 23 no Shamoly, Dhaka, 1207"
118,Xindian Restaurant,4.0,"3,616",$$,"House No.55, 55/A (New), 273 (Old) Road No.: 16 (New), 27(Old, 55/1 Rd No. 27"
119,Dhaka Metro Restaurant,3.8,376,not specified,"1st floor, House- 37 Road-12"
